Sat Apr 07 00:03:23 CST 2018 , VERBOSE,"# 创建目录data #"
Sat Apr 07 00:03:23 CST 2018 , VERBOSE,"# 创建文件data #"
Sat Apr 07 00:03:58 CST 2018 , VERBOSE,"# 创建文件data #"
Sat Apr 07 00:04:08 CST 2018 , VERBOSE,"# 创建文件data #"
Sat Apr 07 23:05:57 CST 2018 , VERBOSE,"# 创建文件data #"
Sat Apr 07 23:05:57 CST 2018 , VERBOSE,"# 创建文件data #"
Sat Apr 07 23:05:57 CST 2018 , VERBOSE,"# 创建文件data #"
Sat Apr 07 23:27:41 CST 2018 , VERBOSE,"# 创建文件data #"
Sat Apr 07 23:37:05 CST 2018 , ERROR,"# 读对象异常 #"
Tue Apr 10 18:20:04 CST 2018 , ERROR,"# 读对象异常 #"
Tue Apr 10 18:20:04 CST 2018 , ERROR,"# 读对象异常 #"
Tue Apr 10 18:21:49 CST 2018 , VERBOSE,"# 创建目录data #"
Tue Apr 10 18:21:49 CST 2018 , VERBOSE,"# 创建文件data #"
Tue Apr 10 18:21:49 CST 2018 , VERBOSE,"# 创建文件data #"
Tue Apr 10 18:21:49 CST 2018 , VERBOSE,"# 创建文件data #"
Tue Apr 10 18:21:49 CST 2018 , VERBOSE,"# 创建文件data #"
Tue Apr 10 18:21:49 CST 2018 , VERBOSE,"# 创建文件data #"
Tue Apr 10 18:21:49 CST 2018 , VERBOSE,"# 创建文件data #"
Tue Apr 10 23:14:58 CST 2018 , VERBOSE,"# 创建目录task_result_TaskService for test #"
Tue Apr 10 23:32:41 CST 2018 , VERBOSE,"# 创建目录ret #"
Tue Apr 10 23:32:41 CST 2018 , VERBOSE,"# 创建文件ret #"
Tue Apr 10 23:32:42 CST 2018 , VERBOSE,"# 已上传文件:  ret/task_result_TaskService for test #"
Tue Apr 10 23:33:43 CST 2018 , VERBOSE,"# 已上传文件:  ret/task_result_TaskService for test #"
Wed Apr 11 00:13:33 CST 2018 , VERBOSE,"# 已上传文件:  ret/task_result_TaskService for test #"
Wed Apr 11 00:15:23 CST 2018 , VERBOSE,"# 创建目录data #"
Wed Apr 11 00:15:23 CST 2018 , VERBOSE,"# 创建文件data #"
Wed Apr 11 00:15:23 CST 2018 , VERBOSE,"# 创建文件data #"
Wed Apr 11 00:15:23 CST 2018 , VERBOSE,"# 创建文件data #"
Wed Apr 11 00:15:23 CST 2018 , VERBOSE,"# 创建文件data #"
Wed Apr 11 00:15:23 CST 2018 , VERBOSE,"# 创建文件data #"
